                path                 |  num   |           slug            |               title                | author_id 
-------------------------------------+--------+---------------------------+------------------------------------+-----------
 /article/candidate-is-jerk          | 338647 | candidate-is-jerk         | Candidate is jerk, alleges rival   |         2
 /article/bears-love-berries         | 253801 | bears-love-berries        | Bears love berries, alleges bear   |         1
 /article/bad-things-gone            | 170098 | bad-things-gone           | Bad things gone, say good people   |         3
 /article/goats-eat-googles          |  84906 | goats-eat-googles         | Goats eat Google's lawn            |         1
 /article/trouble-for-troubled       |  84810 | trouble-for-troubled      | Trouble for troubled troublemakers |         2
 /article/balloon-goons-doomed       |  84557 | balloon-goons-doomed      | Balloon goons doomed               |         4
 /article/so-many-bears              |  84504 | so-many-bears             | There are a lot of bears           |         1
 /article/media-obsessed-with-bears  |  84383 | media-obsessed-with-bears | Media obsessed with bears          |         1
 /article/candidate-is-jerkx         |    161 | candidate-is-jerk         | Candidate is jerk, alleges rival   |         2
 /article/candidate-is-jerkq         |    155 | candidate-is-jerk         | Candidate is jerk, alleges rival   |         2
 /article/candidate-is-jerkh         |    152 | candidate-is-jerk         | Candidate is jerk, alleges rival   |         2
 /article/candidate-is-jerkr         |    148 | candidate-is-jerk         | Candidate is jerk, alleges rival   |         2
 /article/candidate-is-jerkg         |    147 | candidate-is-jerk         | Candidate is jerk, alleges rival   |         2
 /article/candidate-is-jerke         |    146 | candidate-is-jerk         | Candidate is jerk, alleges rival   |         2
 /article/candidate-is-jerkb         |    144 | candidate-is-jerk         | Candidate is jerk, alleges rival   |         2
 /article/candidate-is-jerkl         |    144 | candidate-is-jerk         | Candidate is jerk, alleges rival   |         2
 /article/candidate-is-jerkv         |    143 | candidate-is-jerk         | Candidate is jerk, alleges rival   |         2
 /article/candidate-is-jerki         |    142 | candidate-is-jerk         | Candidate is jerk, alleges rival   |         2
 /article/candidate-is-jerkt         |    138 | candidate-is-jerk         | Candidate is jerk, alleges rival   |         2
 /article/candidate-is-jerkn         |    138 | candidate-is-jerk         | Candidate is jerk, alleges rival   |         2
 /article/candidate-is-jerkf         |    137 | candidate-is-jerk         | Candidate is jerk, alleges rival   |         2
 /article/candidate-is-jerky         |    137 | candidate-is-jerk         | Candidate is jerk, alleges rival   |         2
 /article/candidate-is-jerkp         |    135 | candidate-is-jerk         | Candidate is jerk, alleges rival   |         2
 /article/candidate-is-jerka         |    135 | candidate-is-jerk         | Candidate is jerk, alleges rival   |         2
 /article/candidate-is-jerkc         |    134 | candidate-is-jerk         | Candidate is jerk, alleges rival   |         2
 /article/candidate-is-jerkw         |    134 | candidate-is-jerk         | Candidate is jerk, alleges rival   |         2
 /article/candidate-is-jerkz         |    133 | candidate-is-jerk         | Candidate is jerk, alleges rival   |         2
 /article/candidate-is-jerkm         |    132 | candidate-is-jerk         | Candidate is jerk, alleges rival   |         2
 /article/candidate-is-jerks         |    131 | candidate-is-jerk         | Candidate is jerk, alleges rival   |         2
 /article/candidate-is-jerkd         |    124 | candidate-is-jerk         | Candidate is jerk, alleges rival   |         2
 /article/candidate-is-jerku         |    124 | candidate-is-jerk         | Candidate is jerk, alleges rival   |         2
 /article/bears-love-berriesp        |    123 | bears-love-berries        | Bears love berries, alleges bear   |         1
 /article/candidate-is-jerkj         |    121 | candidate-is-jerk         | Candidate is jerk, alleges rival   |         2
 /article/candidate-is-jerkk         |    120 | candidate-is-jerk         | Candidate is jerk, alleges rival   |         2
 /article/bears-love-berriesb        |    118 | bears-love-berries        | Bears love berries, alleges bear   |         1
 /article/bears-love-berriesv        |    117 | bears-love-berries        | Bears love berries, alleges bear   |         1
 /article/bears-love-berriesw        |    115 | bears-love-berries        | Bears love berries, alleges bear   |         1
 /article/bears-love-berriesy        |    111 | bears-love-berries        | Bears love berries, alleges bear   |         1
 /article/bears-love-berriess        |    110 | bears-love-berries        | Bears love berries, alleges bear   |         1
 /article/bears-love-berriesm        |    109 | bears-love-berries        | Bears love berries, alleges bear   |         1
 /article/bears-love-berriesu        |    106 | bears-love-berries        | Bears love berries, alleges bear   |         1
 /article/bears-love-berriesj        |    106 | bears-love-berries        | Bears love berries, alleges bear   |         1
 /article/bears-love-berriest        |    104 | bears-love-berries        | Bears love berries, alleges bear   |         1
 /article/bears-love-berriesg        |    104 | bears-love-berries        | Bears love berries, alleges bear   |         1
 /article/bears-love-berriesr        |    102 | bears-love-berries        | Bears love berries, alleges bear   |         1
 /article/bears-love-berriesq        |    102 | bears-love-berries        | Bears love berries, alleges bear   |         1
 /article/bears-love-berriesk        |    101 | bears-love-berries        | Bears love berries, alleges bear   |         1
 /article/bears-love-berriesn        |    101 | bears-love-berries        | Bears love berries, alleges bear   |         1
 /article/bears-love-berriesi        |    101 | bears-love-berries        | Bears love berries, alleges bear   |         1
 /article/bears-love-berriesc        |    100 | bears-love-berries        | Bears love berries, alleges bear   |         1
 /article/bears-love-berriesx        |    100 | bears-love-berries        | Bears love berries, alleges bear   |         1
 /article/bears-love-berriesa        |     97 | bears-love-berries        | Bears love berries, alleges bear   |         1
 /article/bears-love-berriesd        |     95 | bears-love-berries        | Bears love berries, alleges bear   |         1
 /article/bears-love-berriesl        |     92 | bears-love-berries        | Bears love berries, alleges bear   |         1
 /article/bears-love-berriese        |     92 | bears-love-berries        | Bears love berries, alleges bear   |         1
